DATA_ACCESSO;NUMERO_ACCESSI
01/01/2022;18
02/01/2022;29
03/01/2022;1570
04/01/2022;1656
05/01/2022;1639
06/01/2022;30
07/01/2022;1301
08/01/2022;160
09/01/2022;23
10/01/2022;2964
11/01/2022;3120
12/01/2022;3078
13/01/2022;2962
14/01/2022;2514
15/01/2022;153
16/01/2022;16
17/01/2022;3102
18/01/2022;3227
19/01/2022;3080
20/01/2022;2998
21/01/2022;2477
22/01/2022;155
23/01/2022;18
24/01/2022;3076
25/01/2022;3299
26/01/2022;3160
27/01/2022;3007
28/01/2022;2570
29/01/2022;140
30/01/2022;20
31/01/2022;3501
01/02/2022;3186
02/02/2022;3138
03/02/2022;3035
04/02/2022;2630
05/02/2022;199
06/02/2022;23
07/02/2022;3227
08/02/2022;3380
09/02/2022;3302
10/02/2022;3176
11/02/2022;2598
12/02/2022;161
13/02/2022;38
14/02/2022;3224
15/02/2022;3416
16/02/2022;3338
17/02/2022;3204
18/02/2022;2772
19/02/2022;192
20/02/2022;23
21/02/2022;3292
22/02/2022;3398
23/02/2022;3335
24/02/2022;3155
25/02/2022;2723
26/02/2022;192
27/02/2022;28
28/02/2022;3768
01/03/2022;3406
02/03/2022;3369
03/03/2022;3239
04/03/2022;2664
05/03/2022;201
06/03/2022;23
07/03/2022;3308
08/03/2022;3481
09/03/2022;3438
10/03/2022;3257
11/03/2022;2770
12/03/2022;179
13/03/2022;29
14/03/2022;3329
15/03/2022;3521
16/03/2022;3435
17/03/2022;3320
18/03/2022;2784
19/03/2022;199
20/03/2022;23
21/03/2022;3381
22/03/2022;3450
23/03/2022;3502
24/03/2022;3355
25/03/2022;2827
26/03/2022;179
27/03/2022;15
28/03/2022;3512
29/03/2022;3556
30/03/2022;3614
31/03/2022;3655
01/04/2022;2868
02/04/2022;186
03/04/2022;29
04/04/2022;3458
05/04/2022;3563
06/04/2022;3519
07/04/2022;3403
08/04/2022;2980
09/04/2022;195
10/04/2022;26
11/04/2022;3465
12/04/2022;3592
13/04/2022;3454
14/04/2022;3069
15/04/2022;2330
16/04/2022;38
17/04/2022;16
18/04/2022;49
19/04/2022;2842
20/04/2022;3221
21/04/2022;2969
22/04/2022;2584
23/04/2022;92
24/04/2022;25
25/04/2022;54
26/04/2022;3574
27/04/2022;3613
28/04/2022;3367
29/04/2022;3143
30/04/2022;361
01/05/2022;20
02/05/2022;3530
03/05/2022;3594
04/05/2022;3570
05/05/2022;3445
06/05/2022;2930
07/05/2022;182
08/05/2022;39
09/05/2022;3428
10/05/2022;3671
11/05/2022;3664
12/05/2022;3389
13/05/2022;2929
14/05/2022;164
15/05/2022;28
16/05/2022;3499
17/05/2022;3638
18/05/2022;3579
19/05/2022;3638
20/05/2022;2970
21/05/2022;196
22/05/2022;47
23/05/2022;3564
24/05/2022;3604
25/05/2022;3631
26/05/2022;3549
27/05/2022;2971
28/05/2022;210
29/05/2022;42
30/05/2022;3357
31/05/2022;3897
01/06/2022;3409
02/06/2022;36
03/06/2022;2158
04/06/2022;167
05/06/2022;44
06/06/2022;3300
07/06/2022;3485
08/06/2022;3569
09/06/2022;3487
10/06/2022;2997
11/06/2022;209
12/06/2022;43
13/06/2022;3413
14/06/2022;3500
15/06/2022;3566
16/06/2022;3401
17/06/2022;2816
18/06/2022;201
19/06/2022;45
20/06/2022;3330
21/06/2022;3352
22/06/2022;3348
23/06/2022;3134
24/06/2022;2757
25/06/2022;192
26/06/2022;44
27/06/2022;2939
28/06/2022;3062
29/06/2022;3111
30/06/2022;3576
01/07/2022;2480
02/07/2022;169
03/07/2022;54
04/07/2022;2803
05/07/2022;3003
06/07/2022;2931
07/07/2022;2769
08/07/2022;2493
09/07/2022;162
10/07/2022;35
11/07/2022;2766
12/07/2022;2799
13/07/2022;2837
14/07/2022;2626
15/07/2022;2277
16/07/2022;173
17/07/2022;26
18/07/2022;2748
19/07/2022;2727
20/07/2022;2746
21/07/2022;2627
22/07/2022;2200
23/07/2022;204
24/07/2022;46
25/07/2022;2685
26/07/2022;2592
27/07/2022;2637
28/07/2022;2459
29/07/2022;2385
30/07/2022;166
31/07/2022;229
01/08/2022;2166
02/08/2022;2015
03/08/2022;2152
04/08/2022;1970
05/08/2022;1703
06/08/2022;87
07/08/2022;39
08/08/2022;1684
09/08/2022;1610
10/08/2022;1753
11/08/2022;1590
12/08/2022;1350
13/08/2022;63
14/08/2022;39
15/08/2022;35
16/08/2022;1235
17/08/2022;1443
18/08/2022;1311
19/08/2022;1283
20/08/2022;83
21/08/2022;29
22/08/2022;1784
23/08/2022;1685
24/08/2022;1900
25/08/2022;1731
26/08/2022;1625
27/08/2022;78
28/08/2022;53
29/08/2022;2246
30/08/2022;2257
31/08/2022;2768
01/09/2022;2284
02/09/2022;2006
03/09/2022;181
04/09/2022;37
05/09/2022;2856
06/09/2022;2978
07/09/2022;2999
08/09/2022;2867
09/09/2022;2446
10/09/2022;223
11/09/2022;50
12/09/2022;2934
13/09/2022;3074
14/09/2022;3184
15/09/2022;3122
16/09/2022;2645
17/09/2022;236
18/09/2022;39
19/09/2022;3231
20/09/2022;3452
21/09/2022;3292
22/09/2022;3103
23/09/2022;2627
24/09/2022;199
25/09/2022;39
26/09/2022;3261
27/09/2022;3260
28/09/2022;3326
29/09/2022;3233
30/09/2022;3326
01/10/2022;176
02/10/2022;34
03/10/2022;3264
04/10/2022;3268
05/10/2022;3336
06/10/2022;3235
07/10/2022;2768
08/10/2022;169
09/10/2022;35
10/10/2022;3284
11/10/2022;3320
12/10/2022;3343
13/10/2022;3242
14/10/2022;2871
15/10/2022;236
16/10/2022;32
17/10/2022;3307
18/10/2022;3229
19/10/2022;3348
20/10/2022;3199
21/10/2022;2704
22/10/2022;192
23/10/2022;42
24/10/2022;3295
25/10/2022;3353
26/10/2022;3365
27/10/2022;3300
28/10/2022;2942
29/10/2022;206
30/10/2022;27
31/10/2022;2436
01/11/2022;189
02/11/2022;3211
03/11/2022;3236
04/11/2022;2736
05/11/2022;174
06/11/2022;49
07/11/2022;3470
08/11/2022;3369
09/11/2022;3327
10/11/2022;3255
11/11/2022;2936
12/11/2022;194
13/11/2022;38
14/11/2022;3314
15/11/2022;3322
16/11/2022;3377
17/11/2022;3214
18/11/2022;2808
19/11/2022;183
20/11/2022;37
21/11/2022;3354
22/11/2022;3356
23/11/2022;3419
24/11/2022;3306
25/11/2022;2765
26/11/2022;242
27/11/2022;25
28/11/2022;3506
29/11/2022;3319
30/11/2022;3720
01/12/2022;3548
02/12/2022;2845
03/12/2022;163
04/12/2022;33
05/12/2022;3202
06/12/2022;3349
07/12/2022;3126
08/12/2022;28
09/12/2022;2003
10/12/2022;215
11/12/2022;39
12/12/2022;3326
13/12/2022;3318
14/12/2022;3561
15/12/2022;3493
16/12/2022;2894
17/12/2022;208
18/12/2022;42
19/12/2022;3411
20/12/2022;3212
21/12/2022;3404
22/12/2022;2836
23/12/2022;2198
24/12/2022;37
25/12/2022;13
26/12/2022;44
27/12/2022;1669
28/12/2022;1941
29/12/2022;1650
30/12/2022;1802
31/12/2022;336
