DATA_ACCETTAZIONE;SEDE;TIPO_PS;NUMERO_ACCESSI
01/01/2021;Distretto Cuggiono;SALA CUGGIONO;4
01/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;9
01/01/2021;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
01/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;9
01/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;23
01/01/2021;Distretto di Legnano;MEDICINA LEGNANO;32
01/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;5
01/01/2021;Distretto di Legnano;OCULISTICA;1
01/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;24
01/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;8
01/01/2021;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
01/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;14
01/01/2021;Distretto Magenta;MEDICINA MAGENTA;30
01/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;4
01/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;22
01/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;10
01/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;12
01/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;10
02/01/2021;Distretto Cuggiono;SALA CUGGIONO;13
02/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;15
02/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;5
02/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;12
02/01/2021;Distretto di Legnano;MEDICINA LEGNANO;55
02/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;5
02/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;10
02/01/2021;Distretto di Legnano;OCULISTICA;3
02/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;18
02/01/2021;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
02/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;29
02/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;6
02/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);2
02/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;8
02/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;12
02/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;18
02/01/2021;Distretto Magenta;MEDICINA MAGENTA;34
02/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;17
02/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;12
03/01/2021;Distretto Cuggiono;SALA CUGGIONO;11
03/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;3
03/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;14
03/01/2021;Distretto di Legnano;OCULISTICA;3
03/01/2021;Distretto di Legnano;MEDICINA LEGNANO;36
03/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;8
03/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;7
03/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;27
03/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;16
03/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
03/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;6
03/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;13
03/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;7
03/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;9
03/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;6
03/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;29
03/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;13
03/01/2021;Distretto Magenta;MEDICINA MAGENTA;39
04/01/2021;Distretto Cuggiono;SALA CUGGIONO;14
04/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;12
04/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;4
04/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;5
04/01/2021;Distretto di Legnano;OBI PEDIATRICA LEGNANO;1
04/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;8
04/01/2021;Distretto di Legnano;PEDIATRIA/CHIRURGICA LEGNANO;1
04/01/2021;Distretto di Legnano;OCULISTICA;1
04/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;21
04/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;30
04/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;9
04/01/2021;Distretto di Legnano;GESSI (ORTOPEDIA);1
04/01/2021;Distretto di Legnano;MEDICINA LEGNANO;46
04/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;23
04/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;13
04/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;18
04/01/2021;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
04/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;9
04/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;3
04/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;8
04/01/2021;Distretto Magenta;MEDICINA MAGENTA;41
05/01/2021;Distretto Cuggiono;SALA CUGGIONO;19
05/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;20
05/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;7
05/01/2021;Distretto di Legnano;OCULISTICA;6
05/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;19
05/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;24
05/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;5
05/01/2021;Distretto di Legnano;MEDICINA LEGNANO;47
05/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;14
05/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;7
05/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;24
05/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;12
05/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;6
05/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;10
05/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;21
05/01/2021;Distretto Magenta;MEDICINA MAGENTA;29
05/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);1
05/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;11
06/01/2021;Distretto Cuggiono;SALA CUGGIONO;10
06/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;2
06/01/2021;Distretto di Abbiategrasso;SALA ABBIATEGRASSO;7
06/01/2021;Distretto di Legnano;OCULISTICA;3
06/01/2021;Distretto di Legnano;MEDICINA LEGNANO;38
06/01/2021;Distretto di Legnano;MEDICINA COVID LEGNANO;4
06/01/2021;Distretto di Legnano;PEDIATRIA LEGNANO;7
06/01/2021;Distretto di Legnano;ORTOPEDIA LEGNANO;11
06/01/2021;Distretto di Legnano;OSTETRICIA/GINECOLOGIA LEGNANO;8
06/01/2021;Distretto di Legnano;CHIRURGIA LEGNANO;16
06/01/2021;Distretto Magenta;MEDICINA MAGENTA;35
06/01/2021;Distretto Magenta;CHIRURGIA MAGENTA;26
06/01/2021;Distretto Magenta;PEDIATRIA MAGENTA;10
06/01/2021;Distretto Magenta;MEDICINA COVID MAGENTA;17
06/01/2021;Distretto Magenta;GESSI (ORTOPEDIA);1
06/01/2021;Distretto Magenta;OBI GENERALE MAGENTA;3
06/01/2021;Distretto Magenta;OBI PEDIATRICA MAGENTA;1
06/01/2021;Distretto Magenta;ORTOPEDIA MAGENTA;13
06/01/2021;Distretto Magenta;OSTETRICIA/GINECOLOGIA MAGENTA;9
07/01/2021;Distretto Cuggiono;SALA CUGGIONO;24
07/01/2021;Distretto di Abbiategrasso;OCULISTICA ABBIATEGRASSO;4
