DATA_RICOVERO;REGIME;SEDE;TIPO_RICOVERO;NUMERO_RICOVERI
01/01/2021;ORDINARIO;ABBIATEGRASSO;Da Ps;1
01/01/2021;ORDINARIO;LEGNANO;Programmato;3
01/01/2021;ORDINARIO;LEGNANO;Da Ps;24
01/01/2021;ORDINARIO;MAGENTA;Programmato;4
01/01/2021;ORDINARIO;MAGENTA;Da Ps;22
01/01/2021;MAC;LEGNANO;Programmato;1
02/01/2021;ORDINARIO;ABBIATEGRASSO;Da Ps;2
02/01/2021;ORDINARIO;CUGGIONO;Programmato;1
02/01/2021;ORDINARIO;CUGGIONO;Da Ps;2
02/01/2021;ORDINARIO;LEGNANO;Programmato;2
02/01/2021;ORDINARIO;LEGNANO;Da Ps;18
02/01/2021;ORDINARIO;MAGENTA;Da Ps;7
02/01/2021;ORDINARIO;MAGENTA;Programmato;2
03/01/2021;ORDINARIO;ABBIATEGRASSO;Da Ps;3
03/01/2021;ORDINARIO;CUGGIONO;Programmato;1
03/01/2021;ORDINARIO;CUGGIONO;Da Ps;2
03/01/2021;ORDINARIO;LEGNANO;Programmato;5
03/01/2021;ORDINARIO;LEGNANO;Da Ps;20
03/01/2021;ORDINARIO;MAGENTA;Da Ps;16
03/01/2021;ORDINARIO;MAGENTA;Programmato;4
04/01/2021;ORDINARIO;ABBIATEGRASSO;Da Ps;6
04/01/2021;ORDINARIO;ABBIATEGRASSO;Programmato;7
04/01/2021;ORDINARIO;CUGGIONO;Da Ps;1
04/01/2021;ORDINARIO;CUGGIONO;Programmato;2
04/01/2021;ORDINARIO;LEGNANO;Programmato;11
04/01/2021;ORDINARIO;LEGNANO;Da Ps;27
04/01/2021;ORDINARIO;MAGENTA;Programmato;7
04/01/2021;ORDINARIO;MAGENTA;Da Ps;24
04/01/2021;DAY HOSPITAL;MAGENTA;Programmato;1
04/01/2021;MAC;ABBIATEGRASSO;Programmato;2
04/01/2021;MAC;CUGGIONO;Programmato;1
04/01/2021;MAC;LEGNANO;Programmato;28
04/01/2021;MAC;MAGENTA;Programmato;13
05/01/2021;ORDINARIO;ABBIATEGRASSO;Programmato;4
05/01/2021;ORDINARIO;ABBIATEGRASSO;Da Ps;5
05/01/2021;ORDINARIO;CUGGIONO;Programmato;2
05/01/2021;ORDINARIO;CUGGIONO;Da Ps;4
05/01/2021;ORDINARIO;LEGNANO;Programmato;8
05/01/2021;ORDINARIO;LEGNANO;Da Ps;25
05/01/2021;ORDINARIO;MAGENTA;Programmato;10
05/01/2021;ORDINARIO;MAGENTA;Da Ps;14
05/01/2021;DAY HOSPITAL;LEGNANO;Programmato;2
05/01/2021;DAY HOSPITAL;MAGENTA;Programmato;1
05/01/2021;BIC;LEGNANO;Programmato;4
05/01/2021;MAC;CUGGIONO;Programmato;5
05/01/2021;MAC;LEGNANO;Programmato;49
05/01/2021;MAC;MAGENTA;Programmato;32
06/01/2021;ORDINARIO;ABBIATEGRASSO;Da Ps;1
06/01/2021;ORDINARIO;ABBIATEGRASSO;Programmato;1
06/01/2021;ORDINARIO;CUGGIONO;Da Ps;2
06/01/2021;ORDINARIO;CUGGIONO;Programmato;1
06/01/2021;ORDINARIO;LEGNANO;Programmato;7
06/01/2021;ORDINARIO;LEGNANO;Da Ps;15
06/01/2021;ORDINARIO;MAGENTA;Da Ps;13
06/01/2021;ORDINARIO;MAGENTA;Programmato;2
07/01/2021;ORDINARIO;ABBIATEGRASSO;Da Ps;2
07/01/2021;ORDINARIO;ABBIATEGRASSO;Programmato;4
07/01/2021;ORDINARIO;CUGGIONO;Da Ps;5
07/01/2021;ORDINARIO;LEGNANO;Da Ps;20
07/01/2021;ORDINARIO;LEGNANO;Programmato;20
07/01/2021;ORDINARIO;MAGENTA;Programmato;4
07/01/2021;ORDINARIO;MAGENTA;Da Ps;22
07/01/2021;DAY HOSPITAL;MAGENTA;Programmato;6
